愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to, affection, to be inclined (to do sth)
上網	上网	shàng wǎng	to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net
上午	上午	shàng wǔ	morning, CL:個|个[ge4]
上學	上学	shàngxué	attend school, be at school
少	少	shǎo	lack, be deficient, lose, be missing, to stop (doing sth), seldom, little
誰	谁	shéi	who, someone, anyone, also pr. [shuí]
身上	身上	shēn shang	on the body, at hand, among
身體	身体	shēntǐ	soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage
什麼	什么	shéme	anything, what
生病	生病	shēngbìng	come down, ail, fall ill, traik, sick, sicken
生氣	生气	shēngqì	get angry, be angry
生日	生日	shēngrì	birthday
十	十	shí	det.: ten, 10
時候	时候	shíhòu	day, moment, (a point in) time, (duration of) time, time
時間	时间	shíjiān	moment, day, clock time, fourth dimension, relativity, hour, duration, time, when, while, temporal, economy
事	事	shì	responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter
試	试	shì	offer, attempt, essay, flesh, try, seek, assay, test, experiment, examination
昰	是	shì	is, are, am, yes, to be, variant of 是[shi4], (used in given names)
是不是	是不是	shì bù shì	is or isn’t, yes or no, whether or not
手	手	shǒu	hand, (formal) to hold, person engaged in certain types of work, classifier for skill
手機	手机	shoǔ jī	cell phone, mobile phone, CL:部[bu4],支[zhi1]
書	书	shū	volume, document, style of calligraphy, book, script, letter, to write, CL:本, 冊|册, 部[bù], see also 書經|书经 Book of History
書包	书包	shūbāo	bag, book bag, satchel, schoolbag
書店	书店	shūdiàn	bookstore
樹	树	shù	wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito, to set up
水	水	shuǐ	water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua, additional charges or income, (of clothes) classifier for number of washes
水果	水果	shuǐguǒ	fruit
睡	睡	shuì	sleep, to lie down
睡覺	睡觉	shuìjiào	turn in, log Z’s, doss, slumber, catch some Z’s, go to bed, sleep, doss down, crash, go to sleep, hit the sack, kip
說	说	shuō	speak, talk, explain, scold, to say, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)
說話	说话	shuōhuà	philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say
四	四	sì	det.: four, 4
送	送	sòng	accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize, to present (with)
歲	岁	suì	year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops, classifier for years (of age)
他	他	tā	he, she, it, they (referring to inanimate things in object position), (used for either sex when the sex is unknown or unimportant)
他們	他们	tāmen	they
她	她	tā	she, her, she (neologism for {1ta1}[2]), )
她們	她们	tāmen	they (female)
太	太	tài	excessively, too, extremely, very, highest, greatest, too (much)
天	天	tiān	m.[standard], sky, heaven
天氣	天气	tiānqì	sky, elements, weather condition, atmospheric condition, weather
聽	听	tīng	hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark, a can (loanword from English “tin”), classifier for canned beverages
聽到	听到	tīngdào	hear
聽見	听见	tīngjiàn	hear
聽寫	听写	tīng xiě	dictate, dictation, CL:次[ci4], (of a pupil) to write down (in a dictation exercise)
同學	同学	tóngxué	class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student
圖書館	图书馆	túshūguǎn	library
外	外	wài	outside, in addition, foreign, external
外邊	外边	wài bian	outside, outer surface, abroad, place other than one’s home
外國	外国	wàiguó	foreign, foreign country, outland, outremer
外語	外语	wàiyǔ	foreign language
玩兒	玩儿	wánr	to play, to have fun, to hang out
晚	晚	wǎn	far on in time, late, evening
晚飯	晚饭	wǎn fàn	evening meal, dinner, supper, CL:份[fen4], 頓|顿[dun4], 次[ci4], 餐[can1]
晚上	晚上	wǎn shang	evening, night, CL:個|个[ge4], in the evening
網上	网上	wǎng shàng	online
網友	网友	wǎng yoǔ	online friend, Internet user
忘	忘	wàng	forget, overlook, neglect
忘記	忘记	wàngjì	misremember, block, blank out, neglect, overlook, draw a blank, leave out, disremember, fail, forget
問	问	wèn	ask, examine, question, interrogate
我	我	wǒ	I, me, ego, self
我們	我们	wǒmen	we
五	五	wǔ	det.: five, 5
午飯	午饭	wǔ fàn	lunch, CL:份[fen4], 頓|顿[dun4], 次[ci4], 餐[can1]
西	西	xī	W, Spain, west, occident, due west, western
西邊	西边	xī biān	west, west side, western part, to the west of
洗	洗	xǐ	wash, bathe, sack, develop (film), shuffle (cards/etc.)
洗手間	洗手间	xǐ shoǔ jiān	toilet, lavatory, washroom
喜歡	喜欢	xǐhuān	like, love, be fond of, be happy/elated
下	下	xià	under (condition/fact etc.), downwards, below, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action
下班	下班	xiàbān	get off
下邊	下边	xià bian	under, the underside, below
下車	下车	xiàchē	get off/out of vehicle
下次	下次	xià cì	next time
下課	下课	xiàkè	finish class, get out of class
下午	下午	xià wǔ	afternoon, CL:個|个[ge4], p.m.
下雨	下雨	xiàyǔ	rain
先	先	xiān	earlier, in advance, before, first
先生	先生	xiānshēng	doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m’sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen
現在	现在	xiàn zài	now, at present, at the moment, modern, current, nowadays
想	想	xiǎng	think, suppose, reckon, consider, want to, would like to, feel like (doing sth.), to believe, to miss (feel wistful about the absence of sb or sth)
小	小	xiǎo	small, little, petty, minor;young, few
小孩兒	小孩儿	xiǎoháir	child, erhua variant of 小孩[xiao3 hai2]
小姐	小姐	xiǎojiě	Signorina, Senorita, senorita, signorina, young lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle
小朋友	小朋友	xiǎopéngyǒu	child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child
小時	小时	xiǎoshí	hour
小學	小学	xiǎoxué	primary school, elementary school
小學生	小学生	xiǎoxuéshēng	(primary) pupil, schoolboy, schoolgirl
笑	笑	xiào	smile, laugh
寫	写	xiě	description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write out, throw off, depict, address, author, screeve, word, compose
謝謝	谢谢	xièxiè	thank
新	新	xīn	new, fresh, up-to-date, meso- (chemistry)
新年	新年	xīn nián	New Year, CL:個|个[ge4]
星期	星期	xīngqí	Sunday, week
星期日	星期日	Xīng qī rì	Sunday, CL:個|个[ge4]
星期天	星期天	Xīng qī tiān	Sunday, CL:個|个[ge4]
行	行	xíng	go, travel, prevail, circulate, be current, to walk, a visit, temporary, makeshift, to perform, capable, competent, effective, all right, OK!, will do, behavior, Taiwan pr. [xìng] for the behavior-conduct sense
休息	休息	xiūxí	repose, have, lie dormant, respire, take time off, have a rest, take a rest, take off, relax, take time off, have/take a rest, rest
學	学	xué	study, learn, imitate, mimic, science, -ology
學生	学生	xuéshēng	academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student
學習	学习	xuéxí	study, learn, emulate
學校	学校	xuéxiào	seminary, schoolhouse, educational institution, school, institution
學院	学院	xuéyuàn	seminary, college, school, hall, institute, academy, faculty
要	要	yào	want, need, must, should, important, to ask for, will, going to (as future auxiliary), (used in a comparison) must be, probably, either… or…
爺爺	爷爷	yéyé	grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather
也	也	yě	also, too, as well, either, even, (in Classical Chinese) final particle implying affirmation
頁	页	yè	page, leaf, m.[general], , sheet of paper, sheet, piece, piece of paper, folio
一	一	yī	det.: one, 1, single, a (article), as soon as, entire, whole, throughout, “one” radical in Chinese characters (Kangxi radical 1), also pr. [yāo] for greater clarity when spelling out numbers digit by digit
衣服	衣服	yīfú	clothes, wearing apparel, toggery, gear, tog, wear, bib-and-tucker, drapery, thing, dress, duds, vestment, wardrobe, clout, apparel, clothing, dud, wrapping, vesture, clobber, habit, robe, togs, livery, habilimentation, array, hull, garb, attire, attirement, stitch, rig, garment, raiment, wearable, dressing
醫生	医生	yīshēng	Galen, MD, physician, Dr., medic, doc, hakeem, medico, Aesculapius, medical man, surgeon, leech, doctor
醫院	医院	yīyuàn	spital, hospital, infirmary, hospice
一半	一半	yíbàn	det.: one half, in part, half
一會兒	一会儿	yīhuìr	a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]
一塊兒	一块儿	yīkuàiēr	together
一下兒	一下儿	yīxià r	(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once, erhua variant of 一下[yi1 xia4]
一樣	一样	yīyàng	same, equal, similar
一邊	一边	yībiān	at the same time, simultaneously;on the one/other hand
一點兒	一点儿	yīdiǎnēr	det.: a little bit
一起	一起	yīqǐ	in chorus, together, in all, in the same place, holus-bolus, altogether, in company
一些	一些	yīxiē	det.: some, a few, a little
用	用	yòng	with, to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, therefore
有	有	yǒu	have, possess, there is, to exist
有的	有的	yǒude	det : some
有名	有名	yǒumíng	well-known, famous
有時候	有时候	yǒushíhòu	from time to time, on occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while
有些	有些	yǒuxiē	kind of, rather, somewhat
有用	有用	yǒuyòng	belong, profit, count, useful, avail, powerful
右	右	yòu	right side as side of precedence, right side, west, winger, right, the right side, the Right, the right, west (old)
右邊	右边	yoù bian	right side, right, to the right
雨	雨	yǔ	rain
元	元	yuán	m.[standard], currency unit (esp. Chinese yuan), first, primary, fundamental, era (of a reign), (math.) argument, variable, (Tw) (geology) eon
遠	远	yuǎn	far, distant (lit./fig.), remote, (intensifier in a comparison) by far, much (lower etc)
月	月	yuè	moon, monthly, CL:個|个, 輪|轮[lún]
再	再	zài	again, once more, further(more), in a higher degree, and then, not (do sth.) before, second, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[yě] or 都[dōu] for emphasis)
再見	再见	zàijiàn	good-bye, see you again
在	在	zài	in, at, on, etc., (located) at, (to be) in, in the middle of doing sth, (indicating an action in progress)
在傢	在家	zàijiā	At home
早	早	zǎo	early, long ago, in advance, beforehand, prematurely, morning
早飯	早饭	zǎo fàn	breakfast, CL:份[fen4], 頓|顿[dun4], 次[ci4], 餐[can1]
早上	早上	zǎo shang	early morning, CL:個|个[ge4]
怎麼	怎么	zěnme	how
站	站	zhàn	to stand, branch of a company or organization, website
找	找	zhǎo	look for, seek, call on, approach, to try to find, to give change
找到	找到	zhǎodào	light upon, find, discover, run down, founded, regain, strike, come upon, come across, run down, trace, turn up, happen upon, get, chance on, chance upon
這	这	zhè	now, this, det.: this, it, (commonly pr. [zhèi] before a classifier, esp. in Beijing)
這邊	这边	zhèbiān	this side, here
這裡	这里	zhèlǐ	this place, there, here
這兒	这儿	zhèēr	now, here
這些	这些	zhèxiē	det.: these
著	着	zhe	[aspect], aspect particle indicating action in progress
真	真	zhēn	really, truly, indeed, clearly, genuine
真的	真的	zhēnde	really, truly, indeed
正	正	zhèng	precisely, punctually, straight, proper, main, to correct, just (at that time), (math.) positive
正在	正在	zhèngzài	course of, be, be in process
知道	知道	zhīdào	tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize
知識	知识	zhīshì	lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment
中	中	zhōng	center, middle, interior, within, among, while (doing sth), (dialect) OK
中國	中国	zhōngguó	Cathay, China, china
中間	中间	zhōngjiān	center, middle
中文	中文	zhōngwén	Chinese, Ch. (written) language, Ch. language, Sinitic
中午	中午	zhōng wǔ	noon, midday, CL:個|个[ge4]
中學	中学	zhōngxué	middle school, grammar school, secondary school, Ch. learning, middle school, high school, grammar school
中學生	中学生	zhōng xué shēng	middle-school student, high school student
重	重	zhòng	heavy, weighty, important, considerable in amount/value, to attach importance to
重要	重要	zhòngyào	important, significant, major
住	住	zhù	inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig, (suffix indicating firmness, steadiness, or coming to a halt)
準備	准备	zhǔnbèi	prepare, get ready
桌子	桌子	zhuōzi5	mahogany, table, desk
字	字	zì	graphic symbol, writing, pronunciation (of a word), form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word, courtesy or style name traditionally given to males aged 20 in dynastic China, CL:個|个[gè]
子	子	zǐ	son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)
走	走	zǒu	scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get along, come along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move, to move (of vehicle), away (in compound verbs, such as 撤走[chè zǒu]), to change (shape, form, meaning)
走路	走路	zǒulù	go away, stroam, go on foot, walk
最	最	zuì	most, to the highest degree, much, superlatively, -est (superlative suffix)
最好	最好	zuìhǎo	had better, it would be best
最後	最后	zuì hoù	final, last, finally, ultimate
昨天	昨天	zuó tiān	yesterday
左	左	zuǒ	left side, east, the Left, the Left (politics), unorthodox, queer, wrong, differing, opposite, variant of 佐[zuǒ]
左邊	左边	zuǒ bian	left, the left side, to the left of
坐	坐	zuò	sit, take seat, to take (a bus, airplane etc), variant of 座[zuò]
坐下	坐下	zuòxià	subside, sit, sit down, sink, sit down
做	做	zuò	make, do, to do, to produce, to act as, to engage in, to hold (a party), to function (in some capacity), to be used for, to form (a bond or relationship)
